#-------------------+
#  Merge sort list  |
#-------------------+
#
#+--------+-----------------------------+
#|        |           ordonne           |
#| Taille | Opérations     Comparaisons |
#+ -------+--------------+--------------+
       1              0               2  
       2              8               6  
       3             19              11  
       4             28              15  
       5             42              21  
       6             54              26  
       7             66              31  
       8             76              35  
       9             93              42  
      10            108              48  
      11            123              54  
      12            136              59  
      13            151              65  
      14            164              70  
      15            177              75  
      16            188              79  
      17            208              87  
      18            226              94  
      19            244             101  
      20            260             107  
      21            278             114  
      22            294             120  
      23            310             126  
      24            324             131  
      25            342             138  
      26            358             144  
      27            374             150  
      28            388             155  
      29            404             161  
      30            418             166  
      31            432             171  
      32            444             175  
      33            467             184  
      34            488             192  
      35            509             200  
      36            528             207  
      37            549             215  
      38            568             222  
      39            587             229  
      40            604             235  
      41            625             243  
      42            644             250  
      43            663             257  
      44            680             263  
      45            699             270  
      46            716             276  
      47            733             282  
      48            748             287  
      49            769             295  
      50            788             302  
      51            807             309  
      52            824             315  
      53            843             322  
      54            860             328  
      55            877             334  
      56            892             339  
      57            911             346  
      58            928             352  
      59            945             358  
      60            960             363  
      61            977             369  
      62            992             374  
      63           1007             379  
      64           1020             383  
      65           1046             393  
      66           1070             402  
      67           1094             411  
      68           1116             419  
      69           1140             428  
      70           1162             436  
      71           1184             444  
      72           1204             451  
      73           1228             460  
      74           1250             468  
      75           1272             476  
      76           1292             483  
      77           1314             491  
      78           1334             498  
      79           1354             505  
      80           1372             511  
      81           1396             520  
      82           1418             528  
      83           1440             536  
      84           1460             543  
      85           1482             551  
      86           1502             558  
      87           1522             565  
      88           1540             571  
      89           1562             579  
      90           1582             586  
      91           1602             593  
      92           1620             599  
      93           1640             606  
      94           1658             612  
      95           1676             618  
      96           1692             623  
      97           1716             632  
      98           1738             640  
      99           1760             648  
     100           1780             655  
     101           1802             663  
     102           1822             670  
     103           1842             677  
     104           1860             683  
     105           1882             691  
     106           1902             698  
     107           1922             705  
     108           1940             711  
     109           1960             718  
     110           1978             724  
     111           1996             730  
     112           2012             735  
     113           2034             743  
     114           2054             750  
     115           2074             757  
     116           2092             763  
     117           2112             770  
     118           2130             776  
     119           2148             782  
     120           2164             787  
     121           2184             794  
     122           2202             800  
     123           2220             806  
     124           2236             811  
     125           2254             817  
     126           2270             822  
     127           2286             827  
     128           2300             831  
     129           2329             842  
     130           2356             852  
     131           2383             862  
     132           2408             871  
     133           2435             881  
     134           2460             890  
     135           2485             899  
     136           2508             907  
     137           2535             917  
     138           2560             926  
     139           2585             935  
     140           2608             943  
     141           2633             952  
     142           2656             960  
     143           2679             968  
     144           2700             975  
     145           2727             985  
     146           2752             994  
     147           2777            1003  
     148           2800            1011  
     149           2825            1020  
     150           2848            1028  
     151           2871            1036  
     152           2892            1043  
     153           2917            1052  
     154           2940            1060  
     155           2963            1068  
     156           2984            1075  
     157           3007            1083  
     158           3028            1090  
     159           3049            1097  
     160           3068            1103  
     161           3095            1113  
     162           3120            1122  
     163           3145            1131  
     164           3168            1139  
     165           3193            1148  
     166           3216            1156  
     167           3239            1164  
     168           3260            1171  
     169           3285            1180  
     170           3308            1188  
     171           3331            1196  
     172           3352            1203  
     173           3375            1211  
     174           3396            1218  
     175           3417            1225  
     176           3436            1231  
     177           3461            1240  
     178           3484            1248  
     179           3507            1256  
     180           3528            1263  
     181           3551            1271  
     182           3572            1278  
     183           3593            1285  
     184           3612            1291  
     185           3635            1299  
     186           3656            1306  
     187           3677            1313  
     188           3696            1319  
     189           3717            1326  
     190           3736            1332  
     191           3755            1338  
     192           3772            1343  
     193           3799            1353  
     194           3824            1362  
     195           3849            1371  
     196           3872            1379  
     197           3897            1388  
     198           3920            1396  
     199           3943            1404  
     200           3964            1411  
     201           3989            1420  
     202           4012            1428  
     203           4035            1436  
     204           4056            1443  
     205           4079            1451  
     206           4100            1458  
     207           4121            1465  
     208           4140            1471  
     209           4165            1480  
     210           4188            1488  
     211           4211            1496  
     212           4232            1503  
     213           4255            1511  
     214           4276            1518  
     215           4297            1525  
     216           4316            1531  
     217           4339            1539  
     218           4360            1546  
     219           4381            1553  
     220           4400            1559  
     221           4421            1566  
     222           4440            1572  
     223           4459            1578  
     224           4476            1583  
     225           4501            1592  
     226           4524            1600  
     227           4547            1608  
     228           4568            1615  
     229           4591            1623  
     230           4612            1630  
     231           4633            1637  
     232           4652            1643  
     233           4675            1651  
     234           4696            1658  
     235           4717            1665  
     236           4736            1671  
     237           4757            1678  
     238           4776            1684  
     239           4795            1690  
     240           4812            1695  
     241           4835            1703  
     242           4856            1710  
     243           4877            1717  
     244           4896            1723  
     245           4917            1730  
     246           4936            1736  
     247           4955            1742  
     248           4972            1747  
     249           4993            1754  
     250           5012            1760  
     251           5031            1766  
     252           5048            1771  
     253           5067            1777  
     254           5084            1782  
     255           5101            1787  
     256           5116            1791  
     257           5148            1803  
     258           5178            1814  
     259           5208            1825  
     260           5236            1835  
     261           5266            1846  
     262           5294            1856  
     263           5322            1866  
     264           5348            1875  
     265           5378            1886  
     266           5406            1896  
     267           5434            1906  
     268           5460            1915  
     269           5488            1925  
     270           5514            1934  
     271           5540            1943  
     272           5564            1951  
     273           5594            1962  
     274           5622            1972  
     275           5650            1982  
     276           5676            1991  
     277           5704            2001  
     278           5730            2010  
     279           5756            2019  
     280           5780            2027  
     281           5808            2037  
     282           5834            2046  
     283           5860            2055  
     284           5884            2063  
     285           5910            2072  
     286           5934            2080  
     287           5958            2088  
     288           5980            2095  
     289           6010            2106  
     290           6038            2116  
     291           6066            2126  
     292           6092            2135  
